,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Port_name
0,0,3,male,22.0,1,0,7.25, Southampton
1,1,3,female,26.0,0,0,7.925, Southampton
2,1,1,female,35.0,1,0,53.1, Southampton
3,0,3,male,35.0,0,0,8.05, Southampton
4,0,1,male,54.0,0,0,51.8625, Southampton
5,0,3,male,2.0,3,1,21.075, Southampton
6,1,3,female,27.0,0,2,11.1333, Southampton
7,1,3,female,4.0,1,1,16.7, Southampton
8,1,1,female,58.0,0,0,26.55, Southampton
9,0,3,male,20.0,0,0,8.05, Southampton
10,0,3,male,39.0,1,5,31.275, Southampton
11,0,3,female,14.0,0,0,7.8542, Southampton
12,1,2,female,55.0,0,0,16.0, Southampton
13,1,2,male,29.0,0,0,13.0, Southampton
14,0,3,female,31.0,1,0,18.0, Southampton
15,0,2,male,35.0,0,0,26.0, Southampton
16,1,2,male,34.0,0,0,13.0, Southampton
17,1,1,male,28.0,0,0,35.5, Southampton
18,0,3,female,8.0,3,1,21.075, Southampton
19,1,3,female,38.0,1,5,31.3875, Southampton
20,0,1,male,19.0,3,2,263.0, Southampton
21,0,3,male,29.0,0,0,7.8958, Southampton
22,0,2,male,66.0,0,0,10.5, Southampton
23,0,1,male,42.0,1,0,52.0, Southampton
24,0,3,male,21.0,0,0,8.05, Southampton
25,0,3,female,18.0,2,0,18.0, Southampton
26,0,3,female,40.0,1,0,9.475, Southampton
27,0,2,female,27.0,1,0,21.0, Southampton
28,0,3,male,29.0,0,0,8.05, Southampton
29,0,3,female,18.0,1,0,17.8, Southampton
30,0,3,male,7.0,4,1,39.6875, Southampton
31,0,3,male,21.0,0,0,7.8, Southampton
32,1,2,female,29.0,1,0,26.0, Southampton
33,1,1,male,29.0,0,0,35.5, Southampton
34,1,2,female,21.0,0,0,10.5, Southampton
35,1,2,female,5.0,1,2,27.75, Southampton
36,0,3,male,11.0,5,2,46.9, Southampton
37,0,1,male,45.0,1,0,83.475, Southampton
38,0,3,male,4.0,3,2,27.9, Southampton
39,1,2,female,29.0,0,0,10.5, Southampton
40,0,3,male,19.0,0,0,8.1583, Southampton
41,1,3,female,17.0,4,2,7.925, Southampton
42,0,3,male,26.0,2,0,8.6625, Southampton
43,0,2,male,32.0,0,0,10.5, Southampton
44,0,3,female,16.0,5,2,46.9, Southampton
45,0,2,male,21.0,0,0,73.5, Southampton
46,1,3,male,32.0,0,0,56.4958, Southampton
47,0,3,male,25.0,0,0,7.65, Southampton
48,0,3,male,29.0,0,0,7.8958, Southampton
49,0,3,male,29.0,0,0,8.05, Southampton
50,1,2,male,0.83,0,2,29.0, Southampton
51,1,3,female,30.0,0,0,12.475, Southampton
52,0,3,male,22.0,0,0,9.0, Southampton
53,1,3,male,29.0,0,0,9.5, Southampton
54,0,1,male,28.0,0,0,47.1, Southampton
55,1,2,female,17.0,0,0,10.5, Southampton
56,1,3,female,33.0,3,0,15.85, Southampton
57,0,3,male,16.0,1,3,34.375, Southampton
58,0,3,male,29.0,0,0,8.05, Southampton
59,1,1,female,23.0,3,2,263.0, Southampton
60,0,3,male,24.0,0,0,8.05, Southampton
61,0,3,male,29.0,0,0,8.05, Southampton
62,0,3,male,20.0,0,0,7.8542, Southampton
63,0,1,male,46.0,1,0,61.175, Southampton
64,0,3,male,26.0,1,2,20.575, Southampton
65,0,3,male,59.0,0,0,7.25, Southampton
66,0,3,male,29.0,0,0,8.05, Southampton
67,1,2,female,34.0,0,1,23.0, Southampton
68,0,2,male,34.0,1,0,26.0, Southampton
69,0,3,female,28.0,0,0,7.8958, Southampton
70,0,3,male,29.0,0,0,7.8958, Southampton
71,0,1,male,21.0,0,1,77.2875, Southampton
72,0,3,male,33.0,0,0,8.6542, Southampton
73,0,3,male,37.0,2,0,7.925, Southampton
74,0,3,male,28.0,0,0,7.8958, Southampton
75,1,3,female,21.0,0,0,7.65, Southampton
76,1,3,male,29.0,0,0,7.775, Southampton
77,0,3,male,38.0,0,0,7.8958, Southampton
78,0,1,male,47.0,0,0,52.0, Southampton
79,0,3,male,22.0,0,0,8.05, Southampton
80,0,3,female,20.0,1,0,9.825, Southampton
81,0,3,male,21.0,0,0,7.925, Southampton
82,0,2,male,29.0,1,0,21.0, Southampton
83,0,3,female,2.0,4,2,31.275, Southampton
84,0,2,male,21.0,2,0,73.5, Southampton
85,0,3,male,29.0,0,0,8.05, Southampton
86,1,2,female,32.5,0,0,13.0, Southampton
87,0,1,male,54.0,0,1,77.2875, Southampton
88,1,3,male,24.0,0,0,7.1417, Southampton
89,0,3,male,45.0,0,0,6.975, Southampton
90,0,3,male,20.0,0,0,7.05, Southampton
91,0,3,female,47.0,1,0,14.5, Southampton
92,1,2,female,29.0,1,0,26.0, Southampton
93,0,2,male,25.0,0,0,13.0, Southampton
94,1,1,female,19.0,0,2,26.2833, Southampton
95,0,1,male,37.0,1,0,53.1, Southampton
96,0,3,male,16.0,0,0,9.2167, Southampton
97,1,3,female,22.0,0,0,7.75, Southampton
98,1,3,female,24.0,1,0,15.85, Southampton
99,0,2,male,18.0,0,0,11.5, Southampton
100,0,2,male,19.0,1,1,36.75, Southampton
101,1,3,male,27.0,0,0,7.7958, Southampton
102,0,3,female,9.0,2,2,34.375, Southampton
103,0,2,male,36.5,0,2,26.0, Southampton
104,0,2,male,42.0,0,0,13.0, Southampton
105,0,2,male,51.0,0,0,12.525, Southampton
106,1,1,female,22.0,1,0,66.6, Southampton
107,0,3,male,55.5,0,0,8.05, Southampton
108,0,3,male,40.5,0,2,14.5, Southampton
109,0,3,male,29.0,0,0,7.3125, Southampton
110,0,3,male,30.0,0,0,8.05, Southampton
111,0,3,male,29.0,0,0,8.6625, Southampton
112,0,3,male,29.0,8,2,69.55, Southampton
113,0,3,male,44.0,0,1,16.1, Southampton
114,1,2,female,40.0,0,0,15.75, Southampton
115,0,3,male,26.0,0,0,7.775, Southampton
116,0,3,male,17.0,0,0,8.6625, Southampton
117,0,3,male,1.0,4,1,39.6875, Southampton
118,1,3,male,9.0,0,2,20.525, Southampton
119,1,1,female,29.0,0,1,55.0, Southampton
120,0,3,female,45.0,1,4,27.9, Southampton
121,0,1,male,29.0,0,0,25.925, Southampton
122,0,3,male,28.0,0,0,56.4958, Southampton
123,0,1,male,61.0,0,0,33.5, Southampton
124,1,3,female,1.0,1,1,11.1333, Southampton
125,0,3,male,21.0,0,0,7.925, Southampton
126,0,3,male,18.0,1,1,7.8542, Southampton
127,0,3,male,29.0,3,1,25.4667, Southampton
128,0,2,male,30.0,0,0,13.0, Southampton
129,0,3,male,36.0,0,0,0.0, Southampton
130,0,3,female,29.0,8,2,69.55, Southampton
131,0,3,male,9.0,4,2,31.3875, Southampton
132,1,2,male,1.0,2,1,39.0, Southampton
133,1,3,female,4.0,0,2,22.025, Southampton
134,0,1,male,29.0,0,0,50.0, Southampton
135,1,1,male,45.0,0,0,26.55, Southampton
136,0,3,male,36.0,0,0,7.8958, Southampton
137,1,2,female,32.0,0,0,13.0, Southampton
138,0,2,male,19.0,0,0,13.0, Southampton
139,1,3,female,19.0,1,0,7.8542, Southampton
140,1,2,male,3.0,1,1,26.0, Southampton
141,0,3,male,42.0,0,1,8.4042, Southampton
142,0,2,female,24.0,0,0,13.0, Southampton
143,0,3,male,28.0,0,0,9.5, Southampton
144,0,3,male,29.0,8,2,69.55, Southampton
145,0,3,male,34.0,0,0,6.4958, Southampton
146,1,3,male,18.0,0,0,8.05, Southampton
147,0,3,female,2.0,0,1,10.4625, Southampton
148,0,3,male,32.0,1,0,15.85, Southampton
149,0,3,male,24.0,0,0,7.05, Southampton
150,1,2,female,35.0,0,0,21.0, Southampton
151,0,3,male,22.0,0,0,7.25, Southampton
152,0,2,male,30.0,0,0,13.0, Southampton
153,1,3,female,27.0,0,0,7.925, Southampton
154,0,2,male,42.0,1,0,27.0, Southampton
155,0,2,male,30.0,0,0,10.5, Southampton
156,1,3,male,16.0,0,0,8.05, Southampton
157,0,2,male,27.0,0,0,13.0, Southampton
158,0,3,male,51.0,0,0,8.05, Southampton
159,0,3,male,29.0,0,0,7.8958, Southampton
160,1,1,male,38.0,1,0,90.0, Southampton
161,0,3,male,22.0,0,0,9.35, Southampton
162,1,2,male,19.0,0,0,10.5, Southampton
163,0,3,male,20.5,0,0,7.25, Southampton
164,0,2,male,18.0,0,0,13.0, Southampton
165,0,3,female,29.0,3,1,25.4667, Southampton
166,1,1,female,35.0,1,0,83.475, Southampton
167,0,3,male,29.0,0,0,7.775, Southampton
168,0,2,male,59.0,0,0,13.5, Southampton
169,1,3,female,5.0,4,2,31.3875, Southampton
170,0,2,male,24.0,0,0,10.5, Southampton
171,0,3,female,29.0,0,0,7.55, Southampton
172,0,2,male,44.0,1,0,26.0, Southampton
173,1,2,female,8.0,0,2,26.25, Southampton
174,0,2,male,19.0,0,0,10.5, Southampton
175,0,2,male,33.0,0,0,12.275, Southampton
176,0,2,male,29.0,0,0,10.5, Southampton
177,0,3,male,22.0,0,0,7.125, Southampton
178,0,3,female,25.0,0,0,7.775, Southampton
179,1,2,female,24.0,0,2,14.5, Southampton
180,1,1,male,37.0,1,1,52.5542, Southampton
181,0,2,male,54.0,1,0,26.0, Southampton
182,0,3,male,29.0,0,0,7.25, Southampton
183,0,3,female,29.0,1,1,10.4625, Southampton
184,0,1,male,62.0,0,0,26.55, Southampton
185,0,3,male,30.0,1,0,16.1, Southampton
186,0,3,female,41.0,0,2,20.2125, Southampton
187,1,1,female,30.0,0,0,86.5, Southampton
188,1,2,female,50.0,0,1,26.0, Southampton
189,1,3,male,3.0,4,2,31.3875, Southampton
190,0,1,male,52.0,1,1,79.65, Southampton
191,0,1,male,40.0,0,0,0.0, Southampton
192,0,2,male,36.0,0,0,10.5, Southampton
193,0,3,male,16.0,4,1,39.6875, Southampton
194,1,3,male,25.0,1,0,7.775, Southampton
195,1,1,female,58.0,0,1,153.4625, Southampton
196,1,1,female,35.0,0,0,135.6333, Southampton
197,0,1,male,29.0,0,0,31.0, Southampton
198,1,3,male,25.0,0,0,0.0, Southampton
199,1,2,female,41.0,0,1,19.5, Southampton
200,1,1,female,63.0,1,0,77.9583, Southampton
201,0,3,female,45.0,0,0,7.75, Southampton
202,0,2,male,29.0,0,0,0.0, Southampton
203,1,3,female,35.0,1,1,20.25, Southampton
204,0,3,male,28.0,0,0,7.8542, Southampton
205,0,3,male,16.0,0,0,9.5, Southampton
206,1,3,male,19.0,0,0,8.05, Southampton
207,0,1,male,29.0,0,0,26.0, Southampton
208,1,3,male,30.0,0,0,9.5, Southampton
209,0,3,male,22.0,0,0,7.8958, Southampton
210,1,2,male,42.0,0,0,13.0, Southampton
211,1,1,female,26.0,0,0,78.85, Southampton
212,0,3,female,24.0,0,0,8.85, Southampton
213,0,3,male,24.0,0,0,7.8958, Southampton
214,0,1,female,2.0,1,2,151.55, Southampton
215,1,1,male,29.0,0,0,30.5, Southampton
216,0,3,male,19.0,0,0,0.0, Southampton
217,0,3,male,29.0,0,0,8.05, Southampton
218,1,1,male,0.92,1,2,151.55, Southampton
219,0,2,female,26.0,1,1,26.0, Southampton
220,0,3,male,28.0,0,0,7.8958, Southampton
221,0,2,male,43.0,1,1,26.25, Southampton
222,1,3,female,26.0,0,0,7.8542, Southampton
223,1,2,female,24.0,1,0,26.0, Southampton
224,0,2,male,54.0,0,0,14.0, Southampton
225,1,1,female,31.0,0,2,164.8667, Southampton
226,0,3,male,22.0,0,0,7.25, Southampton
227,0,3,male,27.0,0,0,7.8958, Southampton
228,1,2,female,22.0,1,1,29.0, Southampton
229,0,3,male,29.0,8,2,69.55, Southampton
230,0,3,male,61.0,0,0,6.2375, Southampton
231,1,2,female,36.0,0,0,13.0, Southampton
232,1,3,female,31.0,1,1,20.525, Southampton
233,0,1,male,45.5,0,0,28.5, Southampton
234,0,1,male,38.0,0,1,153.4625, Southampton
235,0,3,male,16.0,2,0,18.0, Southampton
236,1,1,female,29.0,1,0,133.65, Southampton
237,0,3,male,29.0,0,0,7.8958, Southampton
238,0,1,male,29.0,1,0,66.6, Southampton
239,1,3,male,45.0,0,0,8.05, Southampton
240,0,1,male,45.0,0,0,35.5, Southampton
241,1,2,male,2.0,1,1,26.0, Southampton
242,1,1,female,24.0,3,2,263.0, Southampton
243,0,2,male,28.0,0,0,13.0, Southampton
244,0,2,male,25.0,0,0,13.0, Southampton
245,0,2,male,36.0,0,0,13.0, Southampton
246,1,2,female,24.0,0,0,13.0, Southampton
247,1,2,female,40.0,0,0,13.0, Southampton
248,1,3,female,29.0,1,0,16.1, Southampton
249,1,3,male,3.0,1,1,15.9, Southampton
250,0,3,male,42.0,0,0,8.6625, Southampton
251,0,3,male,23.0,0,0,9.225, Southampton
252,0,1,male,29.0,0,0,35.0, Southampton
253,0,3,male,25.0,1,0,17.8, Southampton
254,0,3,male,28.0,0,0,9.5, Southampton
255,1,1,female,22.0,0,1,55.0, Southampton
256,0,2,female,38.0,0,0,13.0, Southampton
257,0,3,male,40.0,1,4,27.9, Southampton
258,0,3,male,35.0,0,0,7.05, Southampton
259,0,3,male,30.0,0,0,7.25, Southampton
260,0,3,male,18.0,1,0,6.4958, Southampton
261,0,3,male,19.0,0,0,8.05, Southampton
262,0,3,female,3.0,3,1,21.075, Southampton
263,1,3,female,22.0,0,0,7.25, Southampton
264,0,3,male,19.0,0,0,7.775, Southampton
265,0,3,male,32.0,0,0,7.925, Southampton
266,1,1,female,35.0,1,0,52.0, Southampton
267,0,3,male,29.0,0,0,7.8958, Southampton
268,0,2,male,18.0,0,0,73.5, Southampton
269,0,3,male,1.0,5,2,46.9, Southampton
270,1,2,female,36.0,0,0,13.0, Southampton
271,1,1,male,36.0,1,2,120.0, Southampton
272,1,3,male,21.0,0,0,7.7958, Southampton
273,0,3,male,28.0,2,0,7.925, Southampton
274,1,3,female,24.0,0,2,16.7, Southampton
275,0,3,male,22.0,0,0,7.7958, Southampton
276,0,3,female,31.0,0,0,7.8542, Southampton
277,0,2,male,46.0,0,0,26.0, Southampton
278,0,2,male,23.0,0,0,10.5, Southampton
279,1,2,female,28.0,0,0,12.65, Southampton
280,1,3,male,39.0,0,0,7.925, Southampton
281,0,3,male,26.0,0,0,8.05, Southampton
282,0,3,female,21.0,1,0,9.825, Southampton
283,0,3,male,28.0,1,0,15.85, Southampton
284,0,3,female,20.0,0,0,8.6625, Southampton
285,0,2,male,34.0,1,0,21.0, Southampton
286,0,3,male,51.0,0,0,7.75, Southampton
287,1,2,male,3.0,1,1,18.75, Southampton
288,0,3,male,21.0,0,0,7.775, Southampton
289,0,3,female,29.0,3,1,25.4667, Southampton
290,0,3,male,29.0,0,0,7.8958, Southampton
291,0,2,male,29.0,0,0,0.0, Southampton
292,1,3,male,44.0,0,0,7.925, Southampton
293,0,3,female,29.0,0,0,8.05, Southampton
294,1,2,female,34.0,1,1,32.5, Southampton
295,1,2,female,18.0,0,2,13.0, Southampton
296,0,2,male,30.0,0,0,13.0, Southampton
297,0,3,female,10.0,0,2,24.15, Southampton
298,0,3,male,29.0,0,0,7.875, Southampton
299,0,3,female,28.0,1,1,14.4, Southampton
300,0,3,male,18.0,1,1,20.2125, Southampton
301,0,3,male,29.0,0,0,7.25, Southampton
302,1,2,female,28.0,1,0,26.0, Southampton
303,1,2,female,19.0,0,0,26.0, Southampton
304,1,3,male,32.0,0,0,8.05, Southampton
305,1,1,male,28.0,0,0,26.55, Southampton
306,1,3,female,29.0,1,0,16.1, Southampton
307,1,2,female,42.0,1,0,26.0, Southampton
308,0,3,male,17.0,0,0,7.125, Southampton
309,0,1,male,50.0,1,0,55.9, Southampton
310,1,1,female,14.0,1,2,120.0, Southampton
311,0,3,female,21.0,2,2,34.375, Southampton
312,1,2,female,24.0,2,3,18.75, Southampton
313,0,1,male,64.0,1,4,263.0, Southampton
314,0,2,male,31.0,0,0,10.5, Southampton
315,1,2,female,45.0,1,1,26.25, Southampton
316,0,3,male,20.0,0,0,9.5, Southampton
317,0,3,male,25.0,1,0,7.775, Southampton
318,1,2,female,28.0,0,0,13.0, Southampton
319,1,3,male,29.0,0,0,8.1125, Southampton
320,1,1,male,4.0,0,2,81.8583, Southampton
321,1,2,female,13.0,0,1,19.5, Southampton
322,1,1,male,34.0,0,0,26.55, Southampton
323,1,1,male,52.0,0,0,30.5, Southampton
324,0,2,male,36.0,1,2,27.75, Southampton
325,0,3,male,29.0,1,0,19.9667, Southampton
326,0,3,male,29.0,0,0,8.05, Southampton
327,0,1,male,65.0,0,0,26.55, Southampton
328,1,1,female,29.0,1,0,51.8625, Southampton
329,1,2,female,50.0,0,0,10.5, Southampton
330,1,1,male,48.0,0,0,26.55, Southampton
331,0,3,male,34.0,0,0,8.05, Southampton
332,0,1,male,47.0,0,0,38.5, Southampton
333,0,2,male,48.0,0,0,13.0, Southampton
334,0,3,male,29.0,0,0,8.05, Southampton
335,0,3,male,38.0,0,0,7.05, Southampton
336,0,2,male,29.0,0,0,0.0, Southampton
337,0,1,male,56.0,0,0,26.55, Southampton
338,0,3,male,29.0,0,0,7.25, Southampton
339,0,3,male,38.0,0,0,8.6625, Southampton
340,1,2,female,33.0,1,2,27.75, Southampton
341,0,3,female,22.0,0,0,9.8375, Southampton
342,0,1,male,29.0,0,0,52.0, Southampton
343,0,2,male,34.0,1,0,21.0, Southampton
344,0,3,male,29.0,1,0,7.0458, Southampton
345,0,3,male,22.0,0,0,7.5208, Southampton
346,1,3,female,2.0,0,1,12.2875, Southampton
347,0,3,male,9.0,5,2,46.9, Southampton
348,0,2,male,29.0,0,0,0.0, Southampton
349,0,3,male,50.0,0,0,8.05, Southampton
350,1,3,female,63.0,0,0,9.5875, Southampton
351,0,3,female,29.0,3,1,25.4667, Southampton
352,1,1,female,35.0,1,0,90.0, Southampton
353,0,3,male,30.0,0,0,8.05, Southampton
354,1,3,male,9.0,1,1,15.9, Southampton
355,0,3,male,29.0,1,0,19.9667, Southampton
356,0,3,male,21.0,0,0,7.25, Southampton
357,0,1,male,55.0,0,0,30.5, Southampton
358,0,3,male,21.0,0,0,8.05, Southampton
359,0,3,male,29.0,0,0,15.1, Southampton
360,0,1,female,25.0,1,2,151.55, Southampton
361,0,3,male,24.0,0,0,7.7958, Southampton
362,0,3,male,17.0,0,0,8.6625, Southampton
363,0,3,female,37.0,0,0,9.5875, Southampton
364,1,1,female,16.0,0,0,86.5, Southampton
365,1,2,female,33.0,0,2,26.0, Southampton
366,1,1,male,29.0,0,0,26.55, Southampton
367,0,3,male,28.0,0,0,22.525, Southampton
368,1,3,male,26.0,0,0,56.4958, Southampton
369,0,3,male,29.0,0,0,8.05, Southampton
370,1,1,male,36.0,0,0,26.2875, Southampton
371,0,3,male,24.0,0,0,7.4958, Southampton
372,0,1,male,47.0,0,0,34.0208, Southampton
373,1,2,female,34.0,0,0,10.5, Southampton
374,1,2,female,36.0,1,0,26.0, Southampton
375,0,3,male,32.0,0,0,7.8958, Southampton
376,1,1,female,30.0,0,0,93.5, Southampton
377,0,3,male,22.0,0,0,7.8958, Southampton
378,1,2,female,50.0,0,0,10.5, Southampton
379,0,1,male,29.0,0,0,221.7792, Southampton
380,0,3,male,39.0,0,0,7.925, Southampton
381,0,2,male,23.0,2,1,11.5, Southampton
382,1,2,female,2.0,1,1,26.0, Southampton
383,0,3,female,30.0,0,0,8.6625, Southampton
384,1,2,female,7.0,0,2,26.25, Southampton
385,0,1,male,45.0,0,0,26.55, Southampton
386,0,3,male,29.0,0,0,14.5, Southampton
387,1,1,female,36.0,0,2,71.0, Southampton
388,0,3,female,9.0,4,2,31.275, Southampton
389,0,3,female,11.0,4,2,31.275, Southampton
390,1,2,male,32.0,1,0,26.0, Southampton
391,0,1,male,64.0,0,0,26.0, Southampton
392,1,2,female,19.0,1,0,26.0, Southampton
393,0,3,male,33.0,1,1,20.525, Southampton
394,1,2,male,8.0,1,1,36.75, Southampton
395,0,2,male,27.0,0,0,26.0, Southampton
396,1,3,female,22.0,0,0,7.775, Southampton
397,0,1,male,62.0,0,0,26.55, Southampton
398,1,1,female,39.0,1,1,79.65, Southampton
399,1,3,female,36.0,1,0,17.4, Southampton
400,0,3,male,40.0,0,0,7.8958, Southampton
401,0,2,male,28.0,0,0,13.5, Southampton
402,0,3,male,29.0,0,0,8.05, Southampton
403,0,3,female,29.0,0,0,8.05, Southampton
404,0,3,male,24.0,2,0,24.15, Southampton
405,0,3,male,19.0,0,0,7.8958, Southampton
406,0,3,female,29.0,0,4,21.075, Southampton
407,1,3,male,32.0,0,0,7.8542, Southampton
408,1,2,male,62.0,0,0,10.5, Southampton
409,1,1,female,53.0,2,0,51.4792, Southampton
410,1,1,male,36.0,0,0,26.3875, Southampton
411,0,3,male,16.0,0,0,8.05, Southampton
412,0,3,male,19.0,0,0,14.5, Southampton
413,1,2,female,34.0,0,0,13.0, Southampton
414,1,1,female,39.0,1,0,55.9, Southampton
415,1,3,male,32.0,0,0,7.925, Southampton
416,1,2,female,25.0,1,1,30.0, Southampton
417,0,2,male,54.0,0,0,26.0, Southampton
418,1,1,female,18.0,0,2,79.65, Southampton
419,0,2,male,47.0,0,0,15.0, Southampton
420,0,3,male,22.0,0,0,8.05, Southampton
421,0,3,male,29.0,0,0,8.05, Southampton
422,0,3,male,35.0,0,0,7.125, Southampton
423,0,3,male,47.0,0,0,7.25, Southampton
424,0,2,male,37.0,1,0,26.0, Southampton
425,0,3,male,36.0,1,1,24.15, Southampton
426,1,2,female,29.0,0,0,33.0, Southampton
427,0,3,male,49.0,0,0,0.0, Southampton
428,1,2,female,24.0,2,1,27.0, Southampton
429,0,3,male,29.0,0,0,7.8958, Southampton
430,0,1,male,29.0,0,0,42.4, Southampton
431,0,3,male,44.0,0,0,8.05, Southampton
432,0,3,male,36.0,1,0,15.55, Southampton
433,0,3,male,30.0,0,0,7.8958, Southampton
434,1,1,male,27.0,0,0,30.5, Southampton
435,1,1,female,40.0,0,0,153.4625, Southampton
436,0,3,female,39.0,1,5,31.275, Southampton
437,0,3,male,29.0,0,0,7.05, Southampton
438,0,3,male,35.0,0,0,8.05, Southampton
439,1,2,female,24.0,1,2,65.0, Southampton
440,0,3,male,34.0,1,1,14.4, Southampton
441,0,3,female,26.0,1,0,16.1, Southampton
442,1,2,female,4.0,2,1,39.0, Southampton
443,0,2,male,26.0,0,0,10.5, Southampton
